Time,BPM,GSR,EmotionState
14:48:04,73,374,Relax
14:48:04,80,374,Relax
14:48:04,81,367,Relax
14:48:04,81,351,Relax
14:48:08,54,357,Relax
14:48:08,55,363,Relax
14:48:09,57,369,Relax
14:48:10,59,362,Relax
14:48:10,62,369,Relax
14:48:11,64,368,Relax
14:48:12,66,368,Relax
14:48:13,69,382,Relax
14:48:13,72,377,Relax
14:48:14,75,389,Relax
14:48:15,79,384,Relax
14:48:15,83,381,Relax
14:48:16,84,365,Relax
14:48:17,85,362,Relax
14:48:17,84,351,Relax
14:48:18,84,352,Relax
14:48:19,83,364,Relax
14:48:20,83,370,Relax
14:48:21,83,369,Relax
14:48:21,83,382,Relax
14:48:22,84,357,Relax
14:48:22,88,370,Relax
14:48:23,86,380,Relax
14:48:24,84,377,Relax
14:48:24,84,380,Relax
14:48:25,85,382,Relax
14:48:26,87,374,Relax
14:48:27,88,383,Relax
14:48:27,87,382,Relax
14:48:28,87,379,Relax
14:48:29,85,381,Relax
14:48:30,81,375,Relax
14:48:30,81,366,Relax
14:48:31,80,372,Relax
14:48:32,79,379,Relax
14:48:33,78,379,Relax
14:48:33,78,383,Relax
14:48:34,78,387,Relax
14:48:35,79,386,Relax
14:48:36,79,381,Relax
14:48:37,78,381,Relax
14:48:37,77,391,Relax
14:48:38,77,386,Relax
14:48:39,77,387,Relax
14:48:40,76,381,Relax
14:48:41,76,395,Relax
14:48:41,77,386,Relax
14:48:42,78,796,Relax
14:48:43,79,385,Relax
14:48:43,79,380,Relax
14:48:44,78,388,Relax
14:48:45,76,390,Relax
14:48:46,76,383,Relax
14:48:47,77,381,Relax
14:48:47,79,385,Relax
14:48:48,79,383,Relax
14:48:49,77,390,Relax
14:48:50,75,382,Relax
14:48:51,74,387,Relax
14:48:51,75,387,Relax
14:48:52,76,386,Relax
14:48:53,78,381,Relax
14:48:54,77,373,Relax
14:48:54,77,383,Relax
14:48:55,77,377,Relax
14:48:56,77,394,Relax
14:48:57,78,387,Relax
14:48:57,79,385,Relax
14:48:58,79,374,Relax
14:48:59,79,387,Relax
14:49:00,78,375,Relax
14:49:00,78,380,Relax
14:49:01,79,377,Relax
14:49:02,80,383,Relax
14:49:03,81,384,Relax
14:49:03,82,375,Relax
14:49:04,83,376,Relax
14:49:05,82,369,Happy
14:49:05,84,376,Happy
14:49:06,85,360,Happy
14:49:07,87,348,Happy
14:49:07,89,341,Happy
14:49:08,92,351,Happy
14:49:08,93,350,Happy
14:49:09,95,353,Happy
14:49:09,96,358,Happy
14:49:10,98,353,Happy
14:49:11,100,355,Happy
14:49:12,96,361,Happy
14:49:12,94,356,Happy
14:49:13,92,348,Happy
14:49:14,90,348,Happy
14:49:14,89,355,Happy
14:49:15,87,347,Happy
14:49:16,84,338,Happy
14:49:17,82,340,Happy
14:49:17,81,349,Happy
14:49:18,82,337,Happy
14:49:19,84,326,Happy
14:49:19,87,318,Happy
14:49:20,89,320,Happy
14:49:20,91,313,Happy
14:49:21,93,308,Happy
14:49:21,96,319,Happy
14:49:22,100,330,Happy
14:49:23,93,343,Happy
14:49:24,88,339,Happy
14:49:25,85,339,Happy
14:49:26,84,339,Happy
14:49:26,82,350,Happy
14:49:27,81,336,Happy
14:49:28,79,334,Happy
14:49:29,76,346,Happy
14:49:30,73,350,Happy
14:49:30,71,347,Happy
14:49:31,74,354,Happy
14:49:32,76,362,Happy
14:49:33,78,356,Happy
14:49:33,79,361,Happy
14:49:34,79,364,Happy
14:49:35,77,363,Happy
14:49:36,74,380,Happy
14:49:37,73,368,Happy
14:49:38,74,365,Happy
14:49:38,75,371,Happy
14:49:39,76,366,Happy
14:49:40,76,362,Happy
14:49:41,75,375,Happy
14:49:41,74,383,Happy
14:49:42,73,382,Happy
14:49:43,73,387,Happy
14:49:44,76,391,Happy
14:49:45,78,389,Happy
14:49:45,77,388,Happy
14:49:46,78,393,Happy
14:49:47,79,393,Happy
14:49:47,80,402,Happy
14:49:48,81,409,Happy
14:49:49,83,381,Happy
14:49:49,84,375,Happy
14:49:50,85,378,Happy
14:49:51,86,377,Happy
14:49:52,85,367,Happy
14:49:52,84,375,Happy
14:49:53,83,372,Happy
14:49:54,81,381,Happy
14:49:55,81,371,Happy
14:49:55,80,374,Happy
14:49:56,79,377,Happy
14:49:57,79,380,Happy
14:49:58,80,384,Happy
14:49:58,80,383,Happy
14:49:59,81,392,Happy
14:50:00,82,392,Happy
14:50:00,83,393,Happy
14:50:01,85,394,Happy
14:50:02,85,400,Happy
14:50:02,86,389,Happy
14:50:03,88,398,Happy
14:50:04,89,392,Happy
14:50:05,84,394,Happy
14:50:05,83,391,Happy
14:50:06,84,397,Happy
14:50:07,84,395,Relax
14:50:07,87,388,Relax
14:50:08,92,395,Relax
14:50:08,93,399,Relax
14:50:09,93,396,Relax
14:50:09,92,401,Relax
14:50:10,91,399,Relax
14:50:11,96,403,Relax
14:50:12,97,407,Relax
14:50:12,97,406,Relax
14:50:13,96,407,Relax
14:50:14,91,394,Relax
14:50:15,83,401,Relax
14:50:15,81,403,Relax
14:50:16,80,402,Relax
14:50:17,80,406,Relax
14:50:18,80,406,Relax
14:50:18,80,411,Relax
14:50:19,81,398,Relax
14:50:20,80,404,Relax
14:50:20,81,395,Relax
14:50:21,82,385,Relax
14:50:22,84,394,Relax
14:50:23,84,404,Relax
14:50:23,83,401,Relax
14:50:24,82,393,Relax
14:50:25,82,399,Relax
14:50:26,81,399,Relax
14:50:26,80,401,Relax
14:50:27,80,393,Relax
14:50:28,80,410,Relax
14:50:29,80,395,Relax
14:50:29,80,393,Relax
14:50:30,80,408,Relax
14:50:31,80,404,Relax
14:50:32,79,396,Relax
14:50:32,79,407,Relax
14:50:33,80,403,Relax
14:50:34,80,395,Relax
14:50:35,81,385,Relax
14:50:35,82,380,Relax
14:50:36,82,372,Relax
14:50:37,81,357,Relax
14:50:37,82,356,Relax
14:50:38,82,362,Relax
14:50:39,81,367,Relax
14:50:40,80,363,Relax
14:50:41,79,360,Relax
14:50:41,79,362,Relax
14:50:42,79,373,Relax
14:50:43,78,368,Relax
14:50:44,79,379,Relax
14:50:44,79,377,Relax
14:50:45,79,375,Relax
14:50:46,79,386,Relax
14:50:46,82,384,Relax
14:50:47,83,384,Relax
14:50:48,84,376,Relax
14:50:48,85,358,Relax
14:50:49,86,359,Relax
14:50:50,86,369,Relax
14:50:50,86,364,Relax
14:50:51,86,356,Relax
14:50:52,87,358,Relax
14:50:52,89,354,Relax
14:50:53,88,353,Relax
14:50:54,88,358,Relax
14:50:55,87,359,Happy
14:50:55,90,357,Happy
14:50:55,96,362,Happy
14:50:56,97,370,Happy
14:50:57,99,372,Happy
14:50:57,99,364,Happy
14:50:58,100,355,Happy
14:50:58,101,352,Happy
14:50:59,104,359,Happy
14:51:00,106,366,Happy
14:51:00,109,361,Happy
14:51:01,106,355,Happy
14:51:01,101,347,Happy
14:51:02,101,361,Happy
14:51:02,101,360,Happy
14:51:03,101,351,Happy
14:51:04,99,355,Happy
14:51:04,97,356,Happy
14:51:05,96,364,Happy
14:51:06,94,361,Happy
14:51:07,92,351,Happy
14:51:07,91,349,Happy
14:51:08,89,353,Happy
14:51:09,87,358,Happy
14:51:09,86,360,Happy
14:51:10,86,366,Happy
14:51:11,87,371,Happy
14:51:11,87,358,Happy
14:51:12,87,359,Happy
14:51:13,87,359,Happy
14:51:13,88,365,Happy
14:51:14,88,359,Happy
14:51:15,89,367,Happy
14:51:16,86,373,Happy
14:51:16,86,371,Happy
14:51:17,86,367,Relax
14:51:17,88,358,Relax
14:51:18,94,382,Relax
14:51:18,95,377,Relax
14:51:19,95,373,Relax
14:51:20,94,364,Relax
14:51:20,93,355,Relax
14:51:21,93,351,Relax
14:51:22,94,364,Relax
14:51:23,96,409,Relax
14:51:23,97,352,Relax
14:51:24,95,350,Relax
14:51:24,90,340,Relax
14:51:25,85,335,Relax
14:51:26,81,334,Relax
14:51:27,80,335,Relax
14:51:28,79,340,Relax
14:51:29,78,346,Relax
14:51:30,78,347,Relax
14:51:30,80,347,Relax
14:51:30,84,347,Relax
14:51:31,88,342,Relax
14:51:31,91,343,Relax
14:51:32,95,348,Relax
14:51:32,104,345,Relax
14:51:32,116,350,Relax
14:51:33,120,356,Relax
14:51:34,124,352,Relax
14:51:34,125,354,Relax
14:51:35,118,350,Relax
14:51:36,106,347,Relax
14:51:37,98,354,Relax
14:51:37,93,360,Relax
14:51:38,92,363,Relax
14:51:39,89,368,Relax
14:51:40,84,371,Relax
14:51:40,82,359,Relax
14:51:41,81,358,Relax
14:51:42,80,365,Relax
14:51:42,81,360,Relax
14:51:43,83,367,Relax
14:51:44,84,366,Relax
14:51:45,82,362,Relax
14:51:45,82,368,Relax
14:51:46,82,374,Relax
14:51:47,82,376,Relax
14:51:48,83,378,Relax
14:51:48,82,380,Relax
14:51:49,82,376,Relax
14:51:50,80,378,Relax
14:51:51,80,379,Relax
14:51:51,80,381,Relax
14:51:52,81,381,Relax
14:51:53,81,384,Relax
14:51:54,80,389,Relax
14:51:54,79,388,Relax
14:51:55,79,388,Relax
14:51:56,79,391,Relax
14:51:57,79,390,Relax
14:51:58,78,386,Relax
14:51:58,77,390,Relax
14:51:59,78,390,Relax
14:52:00,78,399,Relax
14:52:00,80,394,Relax
14:52:01,81,394,Relax
14:52:02,82,387,Relax
14:52:02,84,374,Relax
14:52:03,86,377,Relax
14:52:03,88,365,Relax
14:52:04,90,364,Relax
14:52:05,89,363,Relax
14:52:06,88,365,Relax
14:52:07,86,362,Relax
14:52:08,83,372,Relax
14:52:08,81,373,Relax
14:52:09,80,384,Relax
14:52:10,79,375,Relax
14:52:10,78,378,Relax
14:52:11,77,382,Relax
14:52:12,78,379,Relax
14:52:13,78,378,Relax
14:52:13,78,372,Relax
14:52:14,77,374,Relax
14:52:15,77,384,Relax
14:52:16,78,387,Relax
14:52:17,79,389,Relax
14:52:17,82,369,Happy
14:52:17,87,366,Happy
14:52:18,89,350,Happy
14:52:18,91,349,Happy
14:52:19,93,349,Happy
14:52:20,96,356,Happy
14:52:20,103,351,Happy
14:52:21,108,355,Happy
14:52:22,109,365,Happy
14:52:22,106,378,Happy
14:52:23,101,384,Happy
14:52:24,94,394,Happy
14:52:24,95,378,Happy
14:52:25,97,382,Happy
14:52:25,102,386,Happy
14:52:25,106,375,Happy
14:52:26,112,374,Happy
14:52:26,120,359,Happy
14:52:26,131,360,Happy
14:52:26,147,364,Happy
14:52:27,165,377,Happy
14:52:27,171,380,Happy
14:52:28,170,377,Happy
14:52:28,165,369,Happy
14:52:29,154,364,Happy
14:52:29,143,371,Happy
14:52:30,132,376,Happy
14:52:31,119,369,Happy
14:52:32,109,370,Happy
14:52:32,102,374,Happy
14:52:33,95,375,Happy
14:52:34,91,379,Relax
14:52:34,92,381,Relax
14:52:34,96,380,Relax
14:52:35,99,392,Relax
14:52:36,98,393,Relax
14:52:36,98,391,Relax
14:52:37,98,398,Relax
14:52:38,97,411,Relax
14:52:39,96,410,Relax
14:52:39,95,409,Relax
14:52:40,97,404,Relax
14:52:41,94,405,Relax
14:52:41,87,413,Relax
14:52:42,82,414,Relax
14:52:43,83,402,Relax
14:52:43,87,416,Relax
14:52:44,87,422,Relax
14:52:45,87,419,Relax
14:52:45,88,430,Relax
14:52:46,86,431,Relax
14:52:47,85,426,Relax
14:52:48,85,434,Relax
14:52:48,86,431,Relax
14:52:49,87,431,Relax
14:52:50,85,426,Relax
14:52:50,84,426,Happy
14:52:50,90,425,Happy
14:52:51,92,419,Happy
14:52:52,93,410,Happy
14:52:52,96,414,Happy
14:52:53,98,413,Happy
14:52:54,101,427,Happy
14:52:54,103,419,Happy
14:52:55,106,415,Happy
14:52:55,109,412,Happy
14:52:56,108,401,Happy
14:52:56,108,400,Happy
14:52:56,114,417,Happy
14:52:57,121,406,Happy
14:52:57,132,416,Happy
14:52:57,133,420,Happy
14:52:58,133,409,Happy
14:52:59,135,410,Happy
14:52:59,134,405,Happy
14:53:00,134,418,Happy
14:53:00,129,416,Happy
14:53:01,126,402,Happy
14:53:01,127,414,Happy
14:53:02,119,418,Happy
14:53:02,111,420,Happy
14:53:03,110,416,Happy
14:53:03,110,422,Happy
14:53:04,108,428,Happy
14:53:05,108,427,Happy
14:53:05,107,425,Happy
14:53:06,108,430,Happy
14:53:06,104,433,Happy
14:53:07,99,434,Happy
14:53:08,100,430,Happy
14:53:08,100,434,Happy
14:53:09,98,424,Happy
14:53:10,97,435,Happy
14:53:10,95,441,Happy
14:53:11,94,430,Happy
14:53:12,97,429,Relax
14:53:12,100,445,Relax
14:53:12,99,441,Relax
14:53:13,98,437,Relax
14:53:14,98,440,Relax
14:53:14,97,447,Relax
14:53:15,95,439,Relax
14:53:16,93,437,Relax
14:53:17,92,446,Relax
14:53:18,88,451,Relax
14:53:19,82,447,Relax
14:53:20,77,446,Relax
14:53:20,76,447,Relax
14:53:21,75,433,Relax
14:53:22,75,436,Relax
14:53:23,73,438,Relax
14:53:24,72,451,Relax
14:53:25,71,444,Relax
14:53:25,70,442,Relax
14:53:26,71,435,Relax
14:53:27,70,441,Relax
14:53:28,70,438,Relax
14:53:29,71,452,Relax
14:53:30,71,445,Relax
14:53:30,71,442,Relax
14:53:31,72,433,Relax
14:53:32,74,434,Relax
14:53:32,77,441,Relax
14:53:33,79,441,Relax
14:53:34,80,449,Relax
14:53:35,81,447,Relax
14:53:35,81,448,Relax
14:53:36,82,446,Relax
14:53:37,81,441,Relax
14:53:37,81,444,Relax
14:53:38,83,442,Relax
14:53:39,85,447,Relax
14:53:39,85,454,Relax
14:53:40,81,449,Relax
14:53:41,78,458,Relax
14:53:42,79,450,Relax
14:53:43,81,445,Relax
14:53:44,81,436,Relax
14:53:44,80,441,Relax
14:53:45,79,445,Relax
14:53:46,78,450,Relax
14:53:46,77,454,Relax
14:53:47,76,452,Relax
14:53:48,79,449,Relax
14:53:49,80,448,Relax
14:53:50,80,445,Relax
14:53:50,79,454,Relax
14:53:51,79,451,Relax
14:53:52,79,442,Relax
14:53:53,80,447,Relax
14:53:53,80,444,Relax
14:53:54,80,447,Relax
14:53:55,80,449,Relax
14:53:56,78,448,Relax
14:53:56,79,453,Relax
14:53:57,80,453,Relax
14:53:58,80,448,Relax
14:53:59,79,453,Relax
14:53:59,78,452,Relax
14:54:00,77,456,Relax
14:54:01,75,455,Relax
14:54:02,75,460,Relax
14:54:02,78,459,Happy
14:54:03,86,456,Happy
14:54:03,87,442,Happy
14:54:04,89,435,Happy
14:54:04,91,431,Happy
14:54:05,94,438,Happy
14:54:06,98,434,Happy
14:54:06,107,429,Happy
14:54:06,119,444,Happy
14:54:06,129,434,Happy
14:54:07,135,435,Happy
14:54:07,126,435,Happy
14:54:08,129,431,Happy
14:54:08,137,424,Happy
14:54:08,149,430,Happy
14:54:09,153,428,Happy
14:54:09,155,427,Happy
14:54:10,146,417,Happy
14:54:11,137,423,Relax
14:54:11,136,412,Relax
14:54:11,136,417,Relax
14:54:12,140,416,Relax
14:54:12,139,424,Relax
14:54:13,129,414,Relax
14:54:14,108,427,Relax
14:54:15,100,423,Relax
14:54:16,95,423,Relax
14:54:17,91,432,Relax
14:54:17,88,430,Relax
14:54:18,84,434,Relax
14:54:19,79,436,Relax
14:54:19,77,435,Relax
14:54:20,75,438,Relax
14:54:21,73,439,Relax
14:54:22,77,436,Relax
14:54:22,79,432,Relax
14:54:23,80,446,Relax
14:54:24,79,441,Relax
14:54:25,77,908,Relax
14:54:26,76,440,Relax
14:54:27,75,446,Relax
14:54:28,73,441,Relax
14:54:28,72,440,Relax
14:54:29,72,446,Relax
14:54:30,72,439,Relax
14:54:31,71,433,Relax
14:54:32,70,435,Relax
14:54:33,71,436,Relax
14:54:33,73,427,Happy
14:54:34,77,415,Happy
14:54:34,83,419,Happy
14:54:35,85,416,Happy
14:54:35,89,411,Happy
14:54:36,93,407,Happy
14:54:36,95,406,Happy
14:54:37,99,404,Happy
14:54:37,110,402,Happy
14:54:37,122,414,Happy
14:54:38,126,413,Happy
14:54:39,121,416,Happy
14:54:39,113,405,Happy
14:54:40,114,398,Happy
14:54:40,115,390,Happy
14:54:41,114,400,Happy
14:54:42,114,402,Happy
14:54:42,114,406,Happy
14:54:43,113,397,Happy
14:54:43,113,405,Happy
14:54:43,114,409,Happy
14:54:44,114,407,Happy
14:54:44,115,396,Happy
14:54:45,116,398,Happy
14:54:45,119,394,Happy
14:54:46,130,402,Happy
14:54:46,132,388,Happy
14:54:46,139,383,Happy
14:54:47,143,390,Happy
14:54:47,133,395,Happy
14:54:48,131,394,Happy
14:54:48,132,407,Happy
14:54:49,139,396,Happy
14:54:49,134,402,Happy
14:54:50,131,399,Happy
14:54:50,125,392,Happy
14:54:51,125,396,Happy
14:54:51,125,387,Happy
14:54:51,125,399,Happy
14:54:52,124,405,Happy
14:54:53,119,402,Happy
14:54:54,117,404,Happy
14:54:54,112,404,Happy
14:54:55,114,402,Happy
14:54:55,110,396,Happy
14:54:56,106,395,Happy
14:54:57,103,404,Happy
14:54:57,98,409,Happy
14:54:58,92,408,Happy
14:54:59,91,404,Happy
14:54:59,92,402,Happy
14:55:00,91,408,Happy
14:55:01,90,405,Happy
14:55:01,88,409,Happy
14:55:02,86,413,Happy
14:55:03,86,410,Happy
14:55:04,85,416,Happy
14:55:04,84,415,Happy
14:55:05,87,426,Relax
14:55:05,91,428,Relax
14:55:06,92,426,Relax
14:55:07,92,416,Relax
14:55:07,91,414,Relax
14:55:08,93,409,Relax
14:55:08,96,400,Relax
14:55:09,99,406,Relax
14:55:10,98,404,Relax
14:55:11,96,405,Relax
14:55:11,92,409,Relax
14:55:12,87,416,Relax
14:55:13,86,412,Relax
14:55:13,87,404,Relax
14:55:14,87,413,Relax
14:55:15,86,415,Relax
14:55:16,85,414,Relax
14:55:16,82,412,Relax
14:55:17,83,415,Relax
14:55:18,85,416,Relax
14:55:18,84,410,Relax
14:55:19,84,409,Relax
14:55:20,82,417,Relax
14:55:21,80,408,Relax
14:55:22,79,421,Relax
14:55:22,79,424,Relax
14:55:23,78,432,Relax
14:55:24,77,426,Relax
14:55:25,75,430,Relax
14:55:26,73,428,Relax
14:55:26,74,429,Relax
14:55:27,75,434,Relax
14:55:28,76,434,Relax
14:55:29,74,418,Relax
14:55:30,72,421,Relax
14:55:31,71,427,Relax
14:55:31,72,435,Relax
14:55:32,75,436,Relax
14:55:33,75,430,Relax
14:55:34,72,426,Relax
14:55:35,70,435,Relax
14:55:36,68,437,Relax
14:55:37,67,438,Relax
14:55:38,68,442,Relax
14:55:39,69,440,Relax
14:55:39,69,435,Relax
14:55:40,69,431,Relax
14:55:41,67,416,Relax
14:55:42,67,427,Relax
14:55:43,68,433,Relax
14:55:44,68,437,Relax
14:55:44,70,432,Relax
14:55:45,71,469,Relax
14:55:46,72,529,Relax
14:55:47,72,500,Relax
14:55:48,72,457,Relax
14:55:49,71,450,Relax
14:55:49,71,501,Relax
14:55:50,73,545,Relax
14:55:51,76,465,Relax
14:55:52,76,427,Relax
14:55:52,76,427,Relax
14:55:53,76,432,Relax
14:55:54,76,512,Relax
14:55:55,77,542,Relax
14:55:55,78,488,Relax
14:55:56,78,441,Relax
14:55:57,78,434,Relax
14:55:58,78,436,Relax
14:55:58,79,441,Relax
14:55:59,81,537,Relax
14:56:00,82,517,Relax
14:56:01,80,474,Relax
14:56:01,78,434,Relax
14:56:02,78,437,Relax
14:56:03,78,445,Relax
14:56:04,79,457,Relax
14:56:04,80,477,Relax
14:56:05,80,445,Relax
14:56:06,79,435,Relax
14:56:07,78,435,Relax
14:56:07,78,442,Relax
14:56:08,80,430,Relax
14:56:09,82,433,Relax
14:56:09,84,443,Relax
14:56:10,83,438,Relax
14:56:11,83,441,Relax
14:56:12,83,441,Relax
14:56:12,83,441,Relax
14:56:13,85,443,Relax
14:56:14,86,428,Relax
14:56:14,87,430,Relax
14:56:15,87,424,Relax
14:56:16,86,441,Relax
14:56:17,83,445,Relax
14:56:17,84,438,Relax
14:56:18,83,447,Relax
14:56:19,83,441,Relax
14:56:20,82,440,Relax
14:56:20,81,440,Relax
14:56:21,80,442,Relax
14:56:22,80,443,Relax
14:56:22,80,446,Relax
14:56:23,82,439,Relax
14:56:24,84,433,Relax
14:56:24,84,429,Relax
14:56:25,85,424,Relax
14:56:26,86,431,Relax
14:56:26,88,436,Relax
14:56:27,89,419,Relax
14:56:28,90,417,Relax
14:56:28,91,420,Relax
14:56:29,91,424,Relax
14:56:29,91,419,Relax
14:56:30,92,430,Relax
14:56:31,93,427,Relax
14:56:32,93,435,Relax
14:56:32,92,680,Relax
14:56:33,90,428,Relax
14:56:34,89,427,Relax
14:56:34,87,422,Relax
14:56:35,86,430,Relax
14:56:36,85,423,Relax
14:56:36,85,425,Relax
14:56:37,86,432,Relax
14:56:38,85,424,Relax
14:56:39,85,431,Relax
14:56:39,86,432,Relax
14:56:40,87,438,Relax
14:56:41,88,431,Relax
14:56:41,88,432,Relax
14:56:42,88,430,Relax
14:56:43,88,433,Relax
14:56:43,86,439,Relax
14:56:44,86,430,Relax
14:56:45,87,412,Relax
14:56:45,88,411,Relax
14:56:46,88,408,Relax
14:56:47,89,418,Relax
14:56:47,90,428,Relax
14:56:48,92,424,Relax
14:56:48,94,435,Relax
14:56:49,94,427,Relax
14:56:50,96,436,Relax
14:56:50,96,429,Relax
14:56:51,96,434,Relax
14:56:52,94,429,Relax
14:56:52,93,435,Relax
14:56:53,93,425,Relax
